Year,Units,scenario,region,sector,value
1975,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1976,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1977,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1978,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1979,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1980,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1981,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1982,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1983,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1984,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1985,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1986,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1987,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1988,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1989,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1990,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1991,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1992,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1993,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1994,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1995,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1996,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1997,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1998,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
1999,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2000,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2001,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2002,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2003,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2004,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2005,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2006,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2007,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2008,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2009,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2010,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2011,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2012,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2013,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2014,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2015,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0628
2016,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.062357119999999995
2017,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.061914239999999995
2018,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06147136
2019,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06102848
2020,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0605856
2021,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06074972
2022,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.060913840000000004
2023,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06107796
2024,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.061242080000000004
2025,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0614062
2026,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06254916
2027,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06369212
2028,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06483508
2029,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06597804
2030,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.067121
2031,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0662312
2032,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06534140000000001
2033,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0644516
2034,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0635618
2035,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.062672
2036,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0641018
2037,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0655316
2038,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0669614
2039,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0683912
2040,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.069821
2041,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07000204
2042,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07018308
2043,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07036412
2044,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07054516
2045,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0707262
2046,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06951562
2047,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06830504
2048,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06709446000000001
2049,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06588388
2050,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0646733
2051,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06581654
2052,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06695978
2053,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06810302
2054,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06924625999999999
2055,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0703895
2056,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06960498
2057,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06882046
2058,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06803593999999999
2059,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06725141999999999
2060,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0664669
2061,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06655422
2062,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06664154
2063,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06672886
2064,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06681618
2065,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0669035
2066,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06870914
2067,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07051478
2068,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07232042000000001
2069,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07412606000000001
2070,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0759317
